  (NO, NO) 0.000000, 0.000000, 0.000000, 0.021500, 0.978500;
  (MILD, NO) 0.000000, 0.000000, 0.319200, 0.644800, 0.036000;
  (MOD, NO) 0.000000, 0.000000, 0.999095, 0.000905, 0.000000;
  (SEV, NO) 0.000000, 0.000000, 1.000000, 0.000000, 0.000000;
  (NO, MILD) 0.000000, 0.000000, 0.344300, 0.622800, 0.032900;
  (MILD, MILD) 0.000000, 0.000000, 0.986247, 0.013543, 0.000210;
  (MOD, MILD) 0.000000, 0.000000, 1.000000, 0.000000, 0.000000;
  (SEV, MILD) 0.000000, 0.000000, 1.000000, 0.000000, 0.000000;
  (NO, MOD) 0.000000, 0.000000, 0.995078, 0.004922, 0.000000;
  (MILD, MOD) 0.000000, 0.000000, 1.000000, 0.000000, 0.000000;
  (MOD, MOD) 0.000000, 0.166667, 0.833333, 0.000000, 0.000000;
  (SEV, MOD) 0.000000, 1.000000, 0.000000, 0.000000, 0.000000;
  (NO, SEV) 0.000000, 0.851698, 0.147473, 0.000829, 0.000000;
  (MILD, SEV) 0.000000, 0.999201, 0.000799, 0.000000, 0.000000;
  (MOD, SEV) 0.000000, 1.000000, 0.000000, 0.000000, 0.000000;
  (SEV, SEV) 0.000000, 1.000000, 0.000000, 0.000000, 0.000000;
  (NO, TOTAL) 1.000000, 0.000000, 0.000000, 0.000000, 0.000000;
  (MILD, TOTAL) 1.000000, 0.000000, 0.000000, 0.000000, 0.000000;
  (MOD, TOTAL) 1.000000, 0.000000, 0.000000, 0.000000, 0.000000;
  (SEV, TOTAL) 1.000000, 0.000000, 0.000000, 0.000000, 0.000000;
